Name,Symbol,Price Category,Performance Metric,Performance Value
Ecoin,ECOIN,< $1,1h,
Open Campus,EDU,< $1,1h,0.7
Moby AI,MOBY,< $1,1h,5.2
Adventure Gold,AGLD,$1-$100,1h,0.6
Ontology Gas,ONG,< $1,1h,0.8
Degen (Base),DEGEN,< $1,1h,0.1
Arcblock,ABT,$1-$100,1h,0.9
pippin,PIPPIN,< $1,1h,1.4
Orbs,ORBS,< $1,1h,0.3
Simon's Cat,CAT,< $1,1h,1.7
Hypurr Fun,HFUN,"$100-$1,000",1h,0.0
Function X,FX,< $1,1h,1.5
Access Protocol,ACS,< $1,1h,1.0
Ergo,ERG,$1-$100,1h,0.2
AI Companions,AIC,< $1,1h,0.6
OSOL,OSOL,< $1,1h,8.2
CARV,CARV,< $1,1h,0.5
NetMind Token,NMT,$1-$100,1h,0.0
BounceBit,BB,< $1,1h,0.2
Kinesis Silver,KAG,$1-$100,1h,0.1
Purr,PURR,< $1,1h,0.3
Coin98,C98,< $1,1h,0.2
DevvE,DEVVE,$1-$100,1h,1.0
dKargo,DKA,< $1,1h,0.0
Zerebro,ZEREBRO,< $1,1h,1.9
Ava AI,AVA,< $1,1h,1.9
Arbitrum Bridged USDC (Arbitrum),USDC.E,< $1,1h,0.2
Cartesi,CTSI,< $1,1h,0.3
Arbitrum Bridged USDC (Arbitrum),USDC.E,< $1,1h,0.2
SmarDex,SDEX,< $1,1h,0.9
Civic,CVC,< $1,1h,0.7
Pundi X,PUNDIX,< $1,1h,0.5
Oraichain,ORAI,$1-$100,1h,0.4
Dent,DENT,< $1,1h,0.3
Polyhedra Network,ZKJ,$1-$100,1h,0.1
ANDY ETH,ANDY,< $1,1h,2.0
Ocean Protocol,OCEAN,< $1,1h,0.1
GAMA Coin,GAMA,$1-$100,1h,0.1
Songbird,SGB,< $1,1h,3.4
LIMITUS,LMT,< $1,1h,0.2
Bitcoin Gold,BTG,$1-$100,1h,1.7
PONKE,PONKE,< $1,1h,0.4
Renzo Restaked LST,PZETH,"$1,000-$10,000",1h,0.0
Satoshi Airline,JET,$1-$100,1h,0.5
Artificial Liquid Intelligence,ALI,< $1,1h,0.7
Stronghold,SHX,< $1,1h,1.1
Iagon,IAG,< $1,1h,0.7
MiL.k Alliance,MLK,< $1,1h,0.7
Maple Finance,SYRUP,< $1,1h,0.3
